"order_id";"customer_id";"order_date";"order_status"
60;108;"2024-05-18";"Pending"
61;86;"2023-06-07";"Cancelled"
62;44;"2023-10-07";"Shipped"
63;63;"2023-05-09";"Delivered"
64;66;"2023-08-24";"Cancelled"
65;49;"2024-05-29";"Cancelled"
66;36;"2024-01-01";"Pending"
67;66;"2024-01-01";"Delivered"
68;119;"2023-01-02";"Delivered"
69;70;"2023-06-07";"Delivered"
70;90;"2024-04-01";"Cancelled"
71;96;"2024-03-22";"Pending"
72;26;"2023-05-28";"Cancelled"
73;17;"2024-06-27";"Delivered"
74;38;"2023-01-03";"Pending"
75;32;"2023-07-05";"Delivered"
76;45;"2024-05-08";"Delivered"
77;36;"2024-01-26";"Cancelled"
78;79;"2023-02-06";"Cancelled"
79;66;"2024-01-22";"Delivered"
80;15;"2024-09-29";"Pending"
81;62;"2024-04-20";"Delivered"
82;11;"2024-09-01";"Delivered"
83;102;"2023-05-08";"Shipped"
84;4;"2024-09-17";"Shipped"
85;56;"2023-06-16";"Cancelled"
86;97;"2023-12-28";"Cancelled"
87;45;"2023-03-18";"Cancelled"
88;36;"2024-06-16";"Delivered"
89;75;"2023-06-18";"Cancelled"
90;110;"2024-05-28";"Shipped"
91;107;"2023-11-12";"Shipped"
92;58;"2023-09-29";"Cancelled"
93;70;"2024-08-20";"Pending"
94;87;"2023-03-03";"Pending"
95;4;"2023-10-26";"Delivered"
96;84;"2024-05-07";"Delivered"
97;62;"2023-10-17";"Cancelled"
98;118;"2023-06-07";"Pending"
99;30;"2023-09-16";"Delivered"
100;107;"2023-01-28";"Cancelled"
101;69;"2023-12-29";"Pending"
102;63;"2024-06-26";"Delivered"
103;35;"2023-01-19";"Cancelled"
104;110;"2023-08-22";"Pending"
105;70;"2024-03-31";"Cancelled"
106;114;"2023-12-26";"Cancelled"
107;50;"2024-03-09";"Cancelled"
108;53;"2023-06-20";"Cancelled"
109;1;"2023-01-27";"Cancelled"
110;27;"2023-02-22";"Delivered"
111;93;"2023-07-06";"Shipped"
112;31;"2024-02-07";"Cancelled"
113;87;"2023-09-20";"Cancelled"
114;9;"2024-01-01";"Pending"
115;18;"2023-09-07";"Shipped"
116;36;"2024-08-12";"Delivered"
117;20;"2023-08-14";"Pending"
118;7;"2023-09-11";"Delivered"
119;42;"2024-07-17";"Unknown"
120;66;"2024-04-23";"Pending"
121;74;"2024-02-25";"Shipped"
122;100;"2024-06-18";"Shipped"
123;42;"2023-01-12";"Pending"
124;55;"2023-04-03";"Pending"
125;116;"2023-06-15";"Cancelled"
126;88;"2024-06-29";"Cancelled"
127;49;"2023-05-25";"Delivered"
128;61;"2023-12-18";"Cancelled"
129;108;"2024-07-28";"Delivered"
130;81;"2023-01-30";"Cancelled"
131;42;"2023-06-24";"Pending"
132;115;"2023-01-25";"Cancelled"
133;35;"2023-07-15";"Cancelled"
134;114;"2023-10-19";"Shipped"
135;106;"2023-12-20";"Pending"
136;42;"2023-10-18";"Delivered"
137;44;"2023-12-30";"Delivered"
138;11;"2023-09-13";"Delivered"
139;89;"2023-01-21";"Pending"
140;55;"2024-04-30";"Shipped"
141;119;"2023-02-21";"Pending"
142;13;"2024-02-13";"Delivered"
143;8;"2023-10-22";"Shipped"
144;34;"2023-05-31";"Cancelled"
145;55;"2024-03-27";"Delivered"
146;83;"2023-11-26";"Delivered"
147;57;"2023-07-10";"Cancelled"
148;70;"2024-02-17";"Cancelled"
149;65;"2023-03-08";"Shipped"
150;37;"2024-06-08";"Pending"
151;77;"2024-07-19";"Pending"
152;20;"2023-08-18";"Delivered"
153;70;"2024-03-14";"Pending"
154;106;"2024-07-24";"Delivered"
155;78;"2024-02-17";"Pending"
156;90;"2023-05-16";"Delivered"
157;65;"2023-08-03";"Pending"
158;113;"2023-06-21";"Pending"
159;5;"2024-06-04";"Delivered"
160;13;"2023-11-25";"Delivered"
161;29;"2023-10-20";"Unknown"
162;86;"2023-02-04";"Cancelled"
163;117;"2024-06-12";"Delivered"
164;5;"2024-01-07";"Unknown"
165;36;"2024-06-25";"Delivered"
166;114;"2024-06-18";"Cancelled"
167;33;"2024-01-01";"Pending"
168;38;"2024-01-01";"Pending"
169;69;"2024-08-29";"Delivered"
170;116;"2023-03-10";"Unknown"
171;95;"2024-08-07";"Cancelled"
172;79;"2024-02-28";"Delivered"
173;104;"2024-03-28";"Cancelled"
174;6;"2023-03-23";"Shipped"
175;6;"2023-04-16";"Delivered"
176;110;"2023-09-12";"Cancelled"
177;73;"2024-03-03";"Delivered"
178;102;"2023-01-25";"Unknown"
179;7;"2024-03-10";"Pending"
180;109;"2024-08-06";"Delivered"
181;77;"2023-09-29";"Cancelled"
182;47;"2023-06-24";"Cancelled"
183;92;"2023-11-24";"Delivered"
184;2;"2023-03-30";"Pending"
185;96;"2023-04-04";"Pending"
186;23;"2023-12-06";"Shipped"
187;74;"2024-06-07";"Pending"
188;68;"2023-07-18";"Cancelled"
189;14;"2024-01-04";"Unknown"
190;53;"2024-01-01";"Delivered"
191;93;"2023-02-06";"Cancelled"
192;69;"2023-01-31";"Delivered"
193;12;"2023-09-06";"Pending"
194;55;"2024-01-01";"Cancelled"
195;3;"2023-05-17";"Cancelled"
196;73;"2024-07-27";"Cancelled"
197;112;"2023-04-15";"Delivered"
198;119;"2024-04-18";"Cancelled"
199;55;"2024-08-02";"Pending"
200;86;"2023-09-21";"Pending"
201;46;"2024-05-06";"Cancelled"
202;90;"2024-01-22";"Cancelled"
203;115;"2024-09-28";"Delivered"
204;109;"2024-04-29";"Delivered"
205;10;"2024-05-28";"Delivered"
206;3;"2024-08-04";"Cancelled"
207;17;"2024-06-12";"Delivered"
208;76;"2023-05-28";"Shipped"
209;13;"2024-07-09";"Shipped"
210;84;"2024-05-08";"Cancelled"
211;88;"2023-04-09";"Delivered"
212;55;"2024-01-05";"Cancelled"
213;53;"2024-08-08";"Cancelled"
214;115;"2024-03-06";"Delivered"
215;1;"2023-03-11";"Cancelled"
216;74;"2023-03-28";"Pending"
217;110;"2024-07-24";"Unknown"
218;56;"2023-11-01";"Cancelled"
219;16;"2024-08-10";"Cancelled"
220;26;"2023-11-13";"Shipped"
221;14;"2023-01-14";"Cancelled"
222;109;"2024-03-29";"Delivered"
223;34;"2023-11-25";"Cancelled"
224;100;"2023-02-17";"Delivered"
225;38;"2024-04-11";"Delivered"
226;43;"2024-03-14";"Delivered"
227;77;"2023-05-31";"Delivered"
228;38;"2023-12-30";"Delivered"
229;51;"2024-08-20";"Cancelled"
230;107;"2023-04-04";"Cancelled"
231;77;"2024-09-28";"Cancelled"
232;12;"2024-05-12";"Pending"
233;71;"2023-10-25";"Delivered"
234;105;"2023-06-06";"Shipped"
235;10;"2023-09-19";"Cancelled"
236;84;"2024-01-14";"Pending"
237;34;"2024-01-25";"Unknown"
238;36;"2023-08-15";"Cancelled"
239;95;"2024-01-19";"Cancelled"
240;85;"2024-09-27";"Pending"
241;24;"2023-10-31";"Delivered"
242;96;"2023-02-06";"Shipped"
243;3;"2023-03-20";"Cancelled"
244;28;"2023-09-15";"Delivered"
245;32;"2023-11-29";"Delivered"
246;88;"2023-03-13";"Delivered"
247;6;"2023-06-11";"Delivered"
248;11;"2024-05-28";"Shipped"
249;2;"2023-02-15";"Delivered"
250;58;"2024-04-04";"Delivered"
251;8;"2023-11-01";"Shipped"
252;56;"2024-04-26";"Pending"
253;15;"2024-03-08";"Delivered"
254;11;"2023-12-06";"Delivered"
255;17;"2023-04-24";"Shipped"
256;76;"2024-06-23";"Delivered"
257;4;"2024-02-22";"Cancelled"
258;52;"2023-06-18";"Cancelled"
259;1;"2023-07-27";"Delivered"
260;100;"2023-05-31";"Pending"
261;27;"2024-01-11";"Cancelled"
262;32;"2024-01-23";"Pending"
263;64;"2023-01-11";"Delivered"
264;80;"2023-04-03";"Delivered"
265;59;"2023-06-08";"Pending"
266;34;"2023-10-29";"Pending"
267;67;"2023-04-07";"Shipped"
268;76;"2023-09-05";"Delivered"
269;75;"2023-02-28";"Shipped"
270;29;"2023-12-19";"Delivered"
271;36;"2023-12-20";"Delivered"
272;13;"2023-03-05";"Delivered"
273;119;"2023-05-20";"Pending"
274;96;"2023-12-15";"Cancelled"
275;108;"2023-05-10";"Pending"
276;104;"2023-04-20";"Shipped"
277;12;"2023-12-15";"Delivered"
278;25;"2023-06-27";"Pending"
279;93;"2023-10-14";"Pending"
280;113;"2024-05-21";"Cancelled"
281;9;"2024-08-23";"Delivered"
282;30;"2024-03-22";"Delivered"
283;50;"2024-01-01";"Delivered"
284;102;"2023-02-02";"Cancelled"
285;6;"2023-03-03";"Shipped"
286;69;"2023-02-12";"Cancelled"
287;73;"2023-10-20";"Shipped"
288;120;"2023-07-20";"Unknown"
289;33;"2023-03-06";"Delivered"
290;104;"2024-02-20";"Pending"
291;69;"2023-12-12";"Delivered"
292;40;"2024-01-28";"Delivered"
293;65;"2023-09-29";"Delivered"
294;22;"2023-01-30";"Pending"
295;12;"2023-02-21";"Shipped"
296;2;"2024-06-17";"Delivered"
297;41;"2023-03-12";"Cancelled"
298;17;"2023-12-21";"Delivered"
299;101;"2023-05-13";"Delivered"
300;115;"2023-09-14";"Shipped"
