"payment_id";"order_id";"payment_method";"payment_status";"payment_date";"amount_paid"
86;93;"Credit card";"success";"2024-08-20";9005.95
87;94;"Credit card";"Success";"2023-03-03";6602.13
88;95;"Upi";"Failed";"2023-10-26";3159.9
89;96;"Credit card";"Failed";"2024-05-07";8154.76
90;97;"Upi";"success";"2023-10-17";5972.44
91;98;"Upi";"Pending";"2023-06-07";2702.73
92;99;"Cash on delivery";"Pending";"2023-09-16";5046.22
93;100;"Credit card";"Success";"2023-01-28";7439.17
94;101;"Credit card";"Unknown";"2023-12-29";4523.96
95;102;"Cash on delivery";"Pending";"2024-06-26";4803.31
96;104;"Upi";"Failed";"2023-08-22";0.0
97;105;"Credit card";"Failed";"2024-03-31";2946.29
98;106;"Credit card";"Unknown";"2023-12-26";1735.32
99;107;"Credit card";"Pending";"2024-03-09";7892.03
100;108;"Upi";"Success";"2023-06-20";7154.2
101;109;"Credit card";"success";"2023-01-27";7641.17
102;110;"Upi";"Success";"2023-02-22";8875.49
103;111;"Credit card";"Success";"2023-07-06";0.0
104;112;"Credit card";"Success";"2024-02-07";5100.09
105;114;"Credit card";"success";"2019-01-01";2188.78
106;115;"Credit card";"Pending";"2023-09-07";8901.39
107;116;"Upi";"success";"2024-08-12";7009.78
108;117;"Credit card";"Success";"2023-08-14";2356.81
109;118;"Upi";"Success";"2023-09-11";5599.28
110;119;"Upi";"Failed";"2024-07-17";7345.36
111;120;"Upi";"Success";"2024-04-23";3202.15
112;121;"Upi";"Failed";"2024-02-25";4454.48
113;122;"Cash on delivery";"Failed";"2024-06-18";1138.03
114;123;"Credit card";"Failed";"2023-01-12";2047.8
115;124;"Upi";"Success";"2023-04-03";3087.46
116;125;"Credit card";"Success";"2023-06-15";6564.06
117;126;"Upi";"Failed";"2024-06-29";8169.3
118;127;"Credit card";"Unknown";"2023-05-25";8641.94
119;128;"Cash on delivery";"success";"2023-12-18";0.0
120;129;"Credit card";"success";"2024-07-28";7328.0
121;130;"Net banking";"Success";"2023-01-30";3290.92
122;131;"Cash on delivery";"success";"2023-06-24";4489.57
123;132;"Credit card";"Unknown";"2023-01-25";4912.66
124;133;"Debit card";"Success";"2023-07-15";323.86
125;134;"Credit card";"Failed";"2023-10-19";282.97
126;136;"Net banking";"Unknown";"2023-10-18";8016.66
127;137;"Upi";"Success";"2023-12-30";2824.06
128;138;"Net banking";"Failed";"2023-09-13";4726.77
129;139;"Upi";"success";"2023-01-21";6725.95
130;140;"Upi";"Pending";"2024-04-30";2445.23
131;144;"Credit card";"Pending";"2023-05-31";5045.42
132;145;"Credit card";"Failed";"2024-03-27";7141.04
133;146;"Credit card";"Pending";"2023-11-26";1343.39
134;147;"Net banking";"success";"2023-07-10";3724.43
135;149;"Upi";"success";"2023-03-08";6496.47
136;150;"Cash on delivery";"success";"2024-06-08";2393.5
137;151;"Upi";"Pending";"2024-07-19";631.13
138;152;"Net banking";"Pending";"2023-08-18";6688.41
139;153;"Credit card";"Failed";"2024-03-14";4963.58
140;154;"Net banking";"Failed";"2024-07-24";6459.05
141;155;"Debit card";"Failed";"2024-02-17";8110.95
142;157;"Credit card";"Failed";"2023-08-03";8294.17
143;159;"Upi";"Pending";"2024-06-04";5039.61
144;161;"Upi";"Pending";"2023-10-20";634.45
145;162;"Upi";"Pending";"2023-02-04";1741.99
146;163;"Credit card";"Success";"2024-06-12";4569.68
147;164;"Net banking";"Failed";"2024-01-07";5661.88
148;165;"Upi";"Failed";"2024-06-25";6366.13
149;166;"Debit card";"success";"2024-06-18";7381.14
150;167;"Upi";"Success";"2030-01-01";4178.36
151;168;"Cash on delivery";"Pending";"2019-01-01";8425.92
152;169;"Credit card";"Success";"2024-08-29";3253.98
153;170;"Credit card";"success";"2023-03-10";4670.73
154;171;"Cash on delivery";"Success";"2024-08-07";3707.55
155;172;"Upi";"success";"2024-02-28";4529.96
156;173;"Credit card";"Success";"2024-03-28";3751.02
157;175;"Debit card";"success";"2023-04-16";6618.89
158;177;"Upi";"Success";"2024-03-03";3571.91
159;178;"Upi";"Pending";"2023-01-25";3177.13
160;179;"Upi";"success";"2024-03-10";4547.68
161;180;"Credit card";"Unknown";"2024-08-06";4003.84
162;181;"Cash on delivery";"Pending";"2023-09-29";5632.12
163;183;"Upi";"Pending";"2023-11-24";9043.07
164;184;"Debit card";"Success";"2023-03-30";8121.23
165;186;"Cash on delivery";"Success";"2023-12-06";8333.47
166;187;"Credit card";"success";"2024-06-07";5694.55
167;188;"Upi";"Success";"2023-07-18";7906.09
168;190;"Upi";"Unknown";"2030-01-01";149.36
169;191;"Debit card";"Pending";"2023-02-06";4707.92
170;192;"Credit card";"Pending";"2023-01-31";968.03
171;193;"Debit card";"success";"2023-09-06";7444.67
172;194;"Upi";"Pending";"2030-01-01";4552.23
173;195;"Net banking";"Success";"2023-05-17";3682.57
174;196;"Cash on delivery";"Success";"2024-07-27";4414.35
175;197;"Cash on delivery";"Failed";"2023-04-15";8287.61
176;198;"Credit card";"Success";"2024-04-18";6482.05
177;199;"Cash on delivery";"success";"2024-08-02";7805.02
178;200;"Credit card";"success";"2023-09-21";8652.98
179;201;"Upi";"Failed";"2024-05-06";6337.86
180;202;"Upi";"Success";"2024-01-22";5423.1
181;203;"Credit card";"Success";"2024-09-28";1106.86
182;204;"Net banking";"Failed";"2024-04-29";7113.14
183;205;"Credit card";"Success";"2024-05-28";4506.18
184;206;"Credit card";"Pending";"2024-08-04";7134.84
185;207;"Credit card";"Success";"2024-06-12";4081.7
186;208;"Cash on delivery";"Failed";"2023-05-28";6560.59
187;209;"Debit card";"Failed";"2024-07-09";8361.2
188;210;"Debit card";"Failed";"2024-05-08";6905.8
189;211;"Upi";"Unknown";"2023-04-09";6015.41
190;212;"Upi";"Success";"2024-01-05";1722.77
191;213;"Credit card";"Unknown";"2024-08-08";3587.86
192;214;"Credit card";"Unknown";"2024-03-06";7355.06
193;215;"Credit card";"Failed";"2023-03-11";1151.49
194;216;"Net banking";"Pending";"2023-03-28";6922.68
195;217;"Cash on delivery";"Success";"2024-07-24";5292.17
196;218;"Cash on delivery";"success";"2023-11-01";3880.7
197;219;"Credit card";"Failed";"2024-08-10";2309.62
198;220;"Upi";"Pending";"2023-11-13";7233.09
199;221;"Credit card";"success";"2023-01-14";5868.95
200;222;"Upi";"success";"2024-03-29";8827.98
201;223;"Cash on delivery";"Success";"2023-11-25";8303.27
202;224;"Cash on delivery";"Success";"2023-02-17";2349.93
203;225;"Credit card";"success";"2024-04-11";8987.63
204;226;"Upi";"Success";"2024-03-14";4832.08
205;227;"Net banking";"Failed";"2023-05-31";6804.7
206;228;"Credit card";"Failed";"2023-12-30";2463.3
207;229;"Credit card";"Failed";"2024-08-20";2895.2
208;230;"Credit card";"success";"2023-04-04";4608.93
209;231;"Cash on delivery";"Pending";"2024-09-28";8048.03
210;232;"Upi";"success";"2024-05-12";274.65
211;233;"Upi";"success";"2023-10-25";3307.68
212;234;"Net banking";"Pending";"2023-06-06";5713.75
213;235;"Cash on delivery";"Success";"2023-09-19";4533.1
214;236;"Cash on delivery";"Success";"2024-01-14";1105.29
215;237;"Credit card";"Pending";"2024-01-25";6928.78
216;238;"Net banking";"Failed";"2023-08-15";5689.47
217;239;"Debit card";"Unknown";"2024-01-19";5732.47
218;240;"Upi";"Success";"2024-09-27";5820.18
219;241;"Credit card";"Pending";"2023-10-31";1269.14
220;242;"Credit card";"success";"2023-02-06";458.07
221;243;"Credit card";"Failed";"2023-03-20";7130.99
222;244;"Credit card";"Success";"2023-09-15";5736.68
223;245;"Upi";"Failed";"2023-11-29";8897.09
224;246;"Cash on delivery";"Success";"2023-03-13";3274.89
225;247;"Credit card";"Pending";"2023-06-11";888.68
226;248;"Credit card";"Pending";"2024-05-28";8599.69
227;249;"Credit card";"Success";"2023-02-15";3171.94
228;250;"Upi";"Failed";"2024-04-04";5385.46
229;251;"Debit card";"success";"2023-11-01";209.3
230;252;"Upi";"Pending";"2024-04-26";8641.86
231;253;"Credit card";"Success";"2024-03-08";1033.41
232;254;"Net banking";"Failed";"2023-12-06";2480.32
233;255;"Credit card";"Success";"2023-04-24";7177.14
234;256;"Credit card";"Success";"2024-06-23";3360.4
235;257;"Credit card";"Success";"2024-02-22";6389.63
236;258;"Cash on delivery";"Pending";"2023-06-18";7286.17
237;259;"Cash on delivery";"Unknown";"2023-07-27";2541.25
238;260;"Credit card";"Success";"2023-05-31";7769.96
239;261;"Debit card";"Success";"2024-01-11";4015.56
240;262;"Credit card";"Success";"2024-01-23";5835.32
241;263;"Debit card";"Pending";"2023-01-11";7972.45
242;264;"Debit card";"Success";"2023-04-03";3602.08
243;265;"Upi";"Pending";"2023-06-08";6277.6
244;266;"Debit card";"success";"2023-10-29";2133.32
245;267;"Cash on delivery";"Failed";"2023-04-07";3076.84
246;268;"Debit card";"Failed";"2023-09-05";2827.8
247;269;"Debit card";"Pending";"2023-02-28";2596.68
248;270;"Credit card";"Failed";"2023-12-19";0.0
249;271;"Credit card";"Failed";"2023-12-20";4811.59
250;272;"Credit card";"Failed";"2023-03-05";6677.45
251;273;"Credit card";"Pending";"2023-05-20";1880.96
252;274;"Credit card";"Pending";"2023-12-15";103.37
253;275;"Credit card";"success";"2023-05-10";1157.2
254;276;"Net banking";"Success";"2023-04-20";1643.23
255;278;"Credit card";"Failed";"2023-06-27";4976.98
256;279;"Credit card";"Failed";"2023-10-14";1035.96
257;280;"Debit card";"Success";"2024-05-21";8383.95
258;281;"Credit card";"Pending";"2024-08-23";2743.19
259;282;"Net banking";"Success";"2024-03-22";0.0
260;283;"Debit card";"Unknown";"2030-01-01";5167.32
261;284;"Upi";"Success";"2023-02-02";4008.65
262;285;"Upi";"Pending";"2023-03-03";5333.18
263;286;"Debit card";"Failed";"2023-02-12";3477.56
264;287;"Upi";"Failed";"2023-10-20";6086.75
265;288;"Upi";"Unknown";"2023-07-20";6154.48
266;289;"Debit card";"success";"2023-03-06";2129.36
267;290;"Debit card";"success";"2024-02-20";4729.65
268;291;"Net banking";"success";"2023-12-12";447.73
269;292;"Credit card";"Failed";"2024-01-28";1800.5
270;293;"Cash on delivery";"Pending";"2023-09-29";7950.6
271;294;"Cash on delivery";"success";"2023-01-30";7319.27
272;295;"Cash on delivery";"Failed";"2023-02-21";4520.85
273;296;"Debit card";"Pending";"2024-06-17";3993.34
274;297;"Net banking";"success";"2023-03-12";1439.49
275;298;"Net banking";"Failed";"2023-12-21";1249.99
276;299;"Upi";"Failed";"2023-05-13";3443.55
